OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18020375,2/25/18,14:20:00,2/25/18,14:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Skiles Classroom Building,686,,Cherry Street  NW,33.7736039,-84.39624483,1
18010092,1/18/18,19:21:00,1/18/18,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,Tenth Street  NW at Atlantic Drive  NW,,,,33.781541,-84.399159,1
18010118,1/12/18,16:00:00,1/23/18,16:08:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Skiles Classroom Building,686,,Cherry Street  NW,,,1
18020198,2/3/18,0:01:00,2/3/18,1:00:00,2399,Larceny Offense Free Text,Closed/Cleared,Unfounded,ONCAM,Z2,,154,,Fifth Street NW,33.77450626,-84.39133,1
18020202,2/3/18,18:28:00,2/3/18,19:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,OFFCAM,75/85 Northbound,,,,,,1
18020222,1/24/18,12:00:00,1/24/18,12:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,,,,Fifth Street @ Techwood Drive NW,33.776916,-84.39212,1
18020356,2/20/18,17:00:00,2/22/18,12:00:00,2205,Burglary - No Forced Entry -NonResidence,Further Investigation,,ONCAM,Z2,Library-East Tower (Crosland)   100   Z2,241,,Bobby Dodd Way NW,33.77447174,-84.39492617,1
18020361,2/19/18,21:00:00,2/19/18,21:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Brittain Recreation Facility,649,,Techwood Drive NW,,,1
18020362,2/22/18,15:00:00,2/22/18,16:20:00,2317,Larceny - Bicycle,Further Investigation,,ONCAM,Z4,CRC,750,,Ferst Drive NW,,,1
18020376,2/25/18,15:55:00,2/25/18,16:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,NAA South,120,,North Avenue  NW,33.76932,-84.39182,1
